"","author","datetimestamp","description","heading","id","language","origin"
"1","By G. Thomas Sims and Paul Hofheinz",2001-12-14,NA,"ECB Trims Forecasts for Growth, Inflation
---
New Data Reflect Slowdown;
Central Bank Chief Says
Rate Cut Not Imminent","J-011214-d","en","The Wall Street Journal"
"2","By NEIL DENNIS IN LONDON.",2001-12-06,NA,"Euro unmoved by ECB's rate hold decision.","FTCOM-011207-d","en","Financial Times"
"3","By DAVID TURNER.",2001-12-06,NA,"ECB leaves rates unchanged at 3.25%.","FTCOM-011207-d","en","Financial Times"
"4",NA,2001-11-09,NA,"Lex - ECB/Bank of England.","FTCOM-011109-d","en","Financial Times"
"5","By DAVID TURNER.",2001-11-08,NA,"ECB bows to pressure with half-point rate cut.","FTCOM-011109-d","en","Financial Times"
"6","By TONY BARBER IN FRANKFURT.",2001-11-06,NA,"Eurozone inflation dip may smooth ECB move.","FTCOM-011107-d","en","Financial Times"
"7","By FT CORRESPONDENTS.",2001-11-04,NA,"Investors await ECB rate-cut decision.","FTCOM-011105-d","en","Financial Times"
"8","By TONY BARBER IN FRANKFURT.",2001-10-31,NA,"Eurozone slowdown fuels ECB rate cut expectations.","FTCOM-011101-d","en","Financial Times"
"9","By CHRIS FLOOD.",2001-10-26,NA,"ECB figures underline investor caution.","FTCOM-011027-d","en","Financial Times"
"10","By TONY BARBER IN FRANKFURT, ALAN BEATTIE IN LONDON AND PERONET DESPEIGNES IN WASHINGTON.",2001-10-25,NA,"ECB adds to gloom as it holds interest rates.","FTCOM-011026-d","en","Financial Times"
"11","By DAVID TURNER.",2001-10-25,NA,"ECB holds rates despite recession worries.","FTCOM-011026-d","en","Financial Times"
"12","By JENNIFER HUGHES IN LONDON.",2001-10-24,NA,"Dollar advance slows ahead of ECB meeting.","FTCOM-011025-d","en","Financial Times"
"13","By VICTOR MALLET IN PARIS AND HAIG SIMONIAN IN BERLIN.",2001-10-12,NA,"European Central Bank under fire over interest rates.","FTCOM-011015-d","en","Financial Times"
"14",NA,2001-10-12,NA,"Lex - European Central Bank.","FTCOM-011012-d","en","Financial Times"
"15","By DAVE SHELLOCK IN LONDON.",2001-10-11,NA,"European bourses shrug off ECB rate decision.","FTCOM-011012-d","en","Financial Times"
